och;och;och
nåtens;nåtens;nåt
nåtars;nåtars;nåt
nåtarnas;nåtarnas;nåt
än;än;än
något;något;något
två;två;två
tvådde;tvådde;två
tvåddes;tvåddes;två
tvått;tvått;två
tvåtts;tvåtts;två
tvående;tvående;två
tvådd;tvådd;två
tar;tar;tar
tillbaka;tillbaka;tillbaka
över;över;över
säger;säger;säger
sen;sen;sen
sene;sene;sen
mer;mer;mer
någon;någon;någon
mina;mina;mina
ner;ner;ner
åt;åt;åt
väl;väl;väl
vänta;vänta;vänta
väntats;väntats;vänta
också;också;också
nån;nån;nån
säga;säga;säga
sägande;sägande;säga
år;år;år
varit;varit;varit
nog;nog;nog
pappa;pappa;pappa
mot;mot;mot
motet;motet;mot
moten;moten;mot
mots;mots;mot
motets;motets;mot
motens;motens;mot
vid;vid;vid
vidast;vidast;vid
vidaste;vidaste;vid
några;några;några
rätt;rätt;rätt
rättast;rättast;rätt
rättaste;rättaste;rätt
rätters;rätters;rätt
rätternas;rätternas;rätt
menar;menar;menar
själv;själv;själv
självet;självet;själv
självs;självs;själv
självets;självets;själv
va;va;va
ville;ville;ville
såg;såg;såg
sågarna;sågarna;såg
sågens;sågens;såg
sågars;sågars;såg
sågarnas;sågarnas;såg
verkligen;verkligen;verkligen
titta;titta;titta
tittas;tittas;titta
tittades;tittades;titta
tittats;tittats;titta
utan;utan;utan
tre;tre;tre
visst;visst;visst
prata;prata;prata
pratad;pratad;prata
vår;vår;vår
sätt;sätt;sätt
sättets;sättets;sätt
sättens;sättens;sätt
tog;tog;tog
älskar;älskar;älskar
tid;tid;tid
tycker;tycker;tycker
sluta;sluta;sluta
slutande;slutande;sluta
slutes;slutes;sluta
slöts;slöts;sluta
trodde;trodde;trodde
precis;precis;precis
säg;säg;säg
sin;sin;sin
tänker;tänker;tänker
veta;veta;veta
många;många;många
under;under;under
undrets;undrets;under
visste;visste;visste
sett;sett;sett
pengar;pengar;pengar
snälla;snälla;snälla
ursäkta;ursäkta;ursäkta
ursäktades;ursäktades;ursäkta
ursäktats;ursäktats;ursäkta
vart;vart;vart
stanna;stanna;stanna
stannas;stannas;stanna
stannades;stannades;stanna
stannats;stannats;stanna
vilken;vilken;vilken
står;står;står
saker;saker;saker
åh;åh;åh
ur;ur;ur
urets;urets;ur
urens;urens;ur
sak;sak;sak
problem;problem;problem
problemens;problemens;problem
morgon;morgon;morgon
morgons;morgons;morgon
morgnars;morgnars;morgon
morgnarnas;morgnarnas;morgon
vän;vän;vän
vänast;vänast;vän
väne;väne;vän
vänaste;vänaste;vän
våra;våra;våra
väg;väg;väg
vägars;vägars;väg
mår;mår;mår
samma;samma;samma
vägen;vägen;vägen
namn;namn;namn
namnets;namnets;namn
namnens;namnens;namn
ute;ute;ute
väldigt;väldigt;väldigt
snart;snart;snart
sitt;sitt;sitt
sedan;sedan;sedan
sedanen;sedanen;sedan
sedaner;sedaner;sedan
sedanerna;sedanerna;sedan
sedanens;sedanens;sedan
sedaners;sedaners;sedan
sedanernas;sedanernas;sedan
redan;redan;redan
pratar;pratar;pratar
tiden;tiden;tiden
tro;tro;tro
visa;visa;visa
visorna;visorna;visa
visans;visans;visa
visors;visors;visa
visornas;visornas;visa
visande;visande;visa
slut;slut;slut
slutets;slutets;slut
slutens;slutens;slut
skit;skit;skit
stor;stor;stor
varje;varje;varje
träffa;träffa;träffa
säkert;säkert;säkert
åka;åka;åka
rädd;rädd;rädd
räddaste;räddaste;rädd
säker;säker;säker
säkre;säkre;säker
tänkte;tänkte;tänkte
nästa;nästa;nästa
nästans;nästans;nästa
nästar;nästar;nästa
nästade;nästade;nästa
nästades;nästades;nästa
nästat;nästat;nästa
nästats;nästats;nästa
nästande;nästande;nästa
nästad;nästad;nästa
sex;sex;sex
ses;ses;ses
son;son;son
sönernas;sönernas;son
verkar;verkar;verkar
vänner;vänner;vänner
sista;sista;sista
tala;tala;tala
tag;tag;tag
tagets;tagets;tag
tagens;tagens;tag
riktigt;riktigt;riktigt
sant;sant;sant
sina;sina;sina
män;män;män
vilket;vilket;vilket
väntar;väntar;väntar
världen;världen;världen
minuter;minuter;minuter
nya;nya;nya
älskling;älskling;älskling
älsklingens;älsklingens;älskling
älsklingars;älsklingars;älskling
älsklingarnas;älsklingarnas;älskling
människor;människor;människor
tills;tills;tills
åker;åker;åker
åkers;åkers;åker
åkerns;åkerns;åker
åkrars;åkrars;åker
åkrarnas;åkrarnas;åker
runt;runt;runt
sagt;sagt;sagt
rör;rör;rör
rörets;rörets;rör
rörens;rörens;rör
stora;stora;stora
vårt;vårt;vårt
minns;minns;minns
tänk;tänk;tänk
öppna;öppna;öppna
även;även;även
polisen;polisen;polisen
ok;ok;ok
oks;oks;ok
okets;okets;ok
okens;okens;ok
tur;tur;tur
turs;turs;tur
turers;turers;tur
turernas;turernas;tur
spelar;spelar;spelar
ändå;ändå;ändå
släpp;släpp;släpp
sånt;sånt;sånt
nästan;nästan;nästan
natt;natt;natt
nätternas;nätternas;natt
slå;slå;slå
slån;slån;slå
slåar;slåar;slå
slåarna;slåarna;slå
slåns;slåns;slå
slåars;slåars;slå
slåarnas;slåarnas;slå
ny;ny;ny
nyast;nyast;ny
pengarna;pengarna;pengarna
senare;senare;senare
spela;spela;spela
tillsammans;tillsammans;tillsammans
plats;plats;plats
platsens;platsens;plats
platsers;platsers;plats
platsernas;platsernas;plats
vilja;vilja;vilja
viljorna;viljorna;vilja
viljors;viljors;vilja
viljornas;viljornas;vilja
trevligt;trevligt;trevligt
ringer;ringer;ringer
redo;redo;redo
vilka;vilka;vilka
tio;tio;tio
sitter;sitter;sitter
äta;äta;äta
ätes;ätes;äta
stan;stan;stan
tyst;tyst;tyst
tystast;tystast;tyst
rum;rum;rum
rummens;rummens;rum
tänka;tänka;tänka
tänks;tänks;tänka
tänkes;tänkes;tänka
tänkts;tänkts;tänka
nära;nära;nära
näre;näre;nära
näras;näras;nära
närs;närs;nära
näres;näres;nära
närdes;närdes;nära
närts;närts;nära
vore;vore;vore
par;par;par
parens;parens;par
svårt;svårt;svårt
ord;ord;ord
ännu;ännu;ännu
mor;mor;mor
mödrarnas;mödrarnas;mor
rädda;rädda;rädda
räddas;räddas;rädda
räddades;räddades;rädda
räddat;räddat;rädda
räddande;räddande;rädda
räddad;räddad;rädda
oroa;oroa;oroa
oroats;oroats;oroa
timmar;timmar;timmar
ringa;ringa;ringa
ringast;ringast;ringa
ringes;ringes;ringa
ringd;ringd;ringa
mellan;mellan;mellan
sån;sån;sån
skynda;skynda;skynda
skyndas;skyndas;skynda
skyndades;skyndades;skynda
skyndats;skyndats;skynda
skyndande;skyndande;skynda
skyndad;skyndad;skynda
mat;mat;mat
stannar;stannar;stannar
vapen;vapen;vapen
stå;stå;stå
varandra;varandra;varandra
ring;ring;ring
ringars;ringars;ring
skall;skall;skall
skalls;skalls;skall
skallets;skallets;skall
uppe;uppe;uppe
någonting;någonting;någonting
skull;skull;skull
räcker;räcker;räcker
stället;stället;stället
talar;talar;talar
syster;syster;syster
sätta;sätta;sätta
sättes;sättes;sätta
reda;reda;reda
redans;redans;reda
redes;redes;reda
reddes;reddes;reda
retts;retts;reda
redande;redande;reda
skolan;skolan;skolan
nere;nere;nere
miss;miss;miss
missarna;missarna;miss
missens;missens;miss
missars;missars;miss
missarnas;missarnas;miss
vatten;vatten;vatten
roligt;roligt;roligt
vacker;vacker;vacker
tagit;tagit;tagit
stort;stort;stort
s;s;s
ringde;ringde;ringde
skicka;skicka;skicka
skickats;skickats;skicka
skickande;skickande;skicka
undan;undan;undan
the;the;the
perfekt;perfekt;perfekt
stoppa;stoppa;stoppa
stoppas;stoppas;stoppa
stoppade;stoppade;stoppa
stoppades;stoppades;stoppa
stoppat;stoppat;stoppa
stoppats;stoppats;stoppa
stoppande;stoppande;stoppa
stoppad;stoppad;stoppa
plan;plan;plan
planare;planare;plan
planast;planast;plan
planaste;planaste;plan
planers;planers;plan
planernas;planernas;plan
nummer;nummer;nummer
numrens;numrens;nummer
utanför;utanför;utanför
önskar;önskar;önskar
ont;ont;ont
snäll;snäll;snäll
snällt;snällt;snäll
snälle;snälle;snäll
snällaste;snällaste;snäll
nytt;nytt;nytt
stämmer;stämmer;stämmer
självklart;självklart;självklart
stick;stick;stick
stickets;stickets;stick
stickens;stickens;stick
mest;mest;mest
natten;natten;natten
sidan;sidan;sidan
månader;månader;månader
sent;sent;sent
någonsin;någonsin;någonsin
tom;tom;tom
tommast;tommast;tom
tomme;tomme;tom
tommaste;tommaste;tom
tomen;tomen;tom
tomer;tomer;tom
tomerna;tomerna;tom
toms;toms;tom
tomens;tomens;tom
tomers;tomers;tom
tomernas;tomernas;tom
sätter;sätter;sätter
slår;slår;slår
ställe;ställe;ställe
ställens;ställens;ställe
ställenas;ställenas;ställe
snabbt;snabbt;snabbt
vadå;vadå;vadå
saken;saken;saken
skriva;skriva;skriva
skrives;skrives;skriva
nå;nå;nå
nående;nående;nå
pojke;pojke;pojke
sanningen;sanningen;sanningen
tittar;tittar;tittar
tjej;tjej;tjej
sova;sova;sova
sovas;sovas;sova
sovs;sovs;sova
soves;soves;sova
sovits;sovits;sova
sticker;sticker;sticker
äter;äter;äter
sköt;sköt;sköt
sköten;sköten;sköt
skötar;skötar;sköt
skötens;skötens;sköt
skötars;skötars;sköt
skötarnas;skötarnas;sköt
roll;roll;roll
rollens;rollens;roll
rollernas;rollernas;roll
ögon;ögon;ögon
vecka;vecka;vecka
veckornas;veckornas;vecka
veckar;veckar;vecka
veckade;veckade;vecka
veckades;veckades;vecka
veckat;veckat;vecka
veckats;veckats;vecka
veckande;veckande;vecka
veckad;veckad;vecka
viktigt;viktigt;viktigt
tyckte;tyckte;tyckte
tänkt;tänkt;tänkt
välkommen;välkommen;välkommen
välkomne;välkomne;välkommen
resten;resten;resten
skjuta;skjuta;skjuta
skjutes;skjutes;skjuta
veckor;veckor;veckor
vidare;vidare;vidare
sju;sju;sju
undrar;undrar;undrar
sitta;sitta;sitta
sittas;sittas;sitta
sitts;sitts;sitta
sittes;sittes;sitta
suttits;suttits;sitta
sutten;sutten;sitta
satt;satt;satt
sida;sida;sida
sidornas;sidornas;sida
sidar;sidar;sida
sidade;sidade;sida
sidades;sidades;sida
sidat;sidat;sida
sidats;sidats;sida
sidande;sidande;sida
sidad;sidad;sida
medan;medan;medan
trött;trött;trött
svara;svara;svara
svarades;svarades;svara
svarats;svarats;svara
svarad;svarad;svara
order;order;order
orderns;orderns;order
ordernas;ordernas;order
älskade;älskade;älskade
små;små;små
val;val;val
valars;valars;val
träffas;träffas;träffas
ursäkt;ursäkt;ursäkt
ursäkts;ursäkts;ursäkt
ursäktens;ursäktens;ursäkt
ursäkters;ursäkters;ursäkt
ursäkternas;ursäkternas;ursäkt
tidigare;tidigare;tidigare
tv;tv;tv
tv:n;tv:n;tv
tv:ar;tv:ar;tv
tv:arna;tv:arna;tv
tv:s;tv:s;tv
tv:ns;tv:ns;tv
tv:ars;tv:ars;tv
tv:arnas;tv:arnas;tv
massa;massa;massa
massors;massors;massa
pratade;pratade;pratade
visar;visar;visar
vissa;vissa;vissa
typ;typ;typ
typs;typs;typ
typens;typens;typ
typers;typers;typ
typernas;typernas;typ
miljoner;miljoner;miljoner
t;t;t
t:et;t:et;t
t:n;t:n;t
t:na;t:na;t
ts;ts;t
t:ets;t:ets;t
t:ns;t:ns;t
t:nas;t:nas;t
tyvärr;tyvärr;tyvärr
skyldig;skyldig;skyldig
skyldigare;skyldigare;skyldig
skyldigast;skyldigast;skyldig
skyldigaste;skyldigaste;skyldig
tillräckligt;tillräckligt;tillräckligt
spring;spring;spring
springet;springet;spring
springets;springets;spring
själva;själva;själva
skjut;skjut;skjut
otroligt;otroligt;otroligt
slog;slog;slog
sam;sam;sam
mindre;mindre;mindre
varsågod;varsågod;varsågod
riktig;riktig;riktig
riktigare;riktigare;riktig
riktigast;riktigast;riktig
riktige;riktige;riktig
riktigaste;riktigaste;riktig
synd;synd;synd
synds;synds;synd
ögonblick;ögonblick;ögonblick
ögonblickens;ögonblickens;ögonblick
o;o;o
slåss;slåss;slåss
åtta;åtta;åtta
åttas;åttas;åtta
åttors;åttors;åtta
åttornas;åttornas;åtta
misstag;misstag;misstag
misstags;misstags;misstag
misstagets;misstagets;misstag
misstagens;misstagens;misstag
toppen;toppen;toppen
sjuk;sjuk;sjuk
sjukast;sjukast;sjuk
tjänst;tjänst;tjänst
tjänsts;tjänsts;tjänst
tjänsters;tjänsters;tjänst
tjänsternas;tjänsternas;tjänst
stund;stund;stund
middag;middag;middag
middagens;middagens;middag
middagars;middagars;middag
middagarnas;middagarnas;middag
strax;strax;strax
sägs;sägs;sägs
resa;resa;resa
resors;resors;resa
resornas;resornas;resa
möjligt;möjligt;möjligt
tja;tja;tja
skiten;skiten;skiten
skjuter;skjuter;skjuter
snackar;snackar;snackar
såna;såna;såna
polis;polis;polis
omkring;omkring;omkring
slutar;slutar;slutar
skrev;skrev;skrev
skrevet;skrevet;skrev
skreven;skreven;skrev
skrevets;skrevets;skrev
skrevens;skrevens;skrev
ung;ung;ung
träffade;träffade;träffade
trevlig;trevlig;trevlig
större;större;större
överallt;överallt;överallt
värre;värre;värre
skriver;skriver;skriver
vänster;vänster;vänster
vänstre;vänstre;vänster
vänstrarna;vänstrarna;vänster
vänsters;vänsters;vänster
vänsterns;vänsterns;vänster
vänstrars;vänstrars;vänster
vänstrarnas;vänstrarnas;vänster
nånsin;nånsin;nånsin
ögonen;ögonen;ögonen
åkte;åkte;åkte
person;person;person
personernas;personernas;person
tvungen;tvungen;tvungen
saknar;saknar;saknar
skaffa;skaffa;skaffa
skaffas;skaffas;skaffa
skaffats;skaffats;skaffa
skaffande;skaffande;skaffa
skaffad;skaffad;skaffa
vinna;vinna;vinna
vinnes;vinnes;vinna
senaste;senaste;senaste
rakt;rakt;rakt
största;största;största
stod;stod;stod
stoden;stoden;stod
stoder;stoder;stod
stoderna;stoderna;stod
stods;stods;stod
stodens;stodens;stod
stoders;stoders;stod
stodernas;stodernas;stod
må;må;må
måddes;måddes;må
måtts;måtts;må
mående;mående;må
älska;älska;älska
söker;söker;söker
underbart;underbart;underbart
smart;smart;smart
råd;råd;råd
rådens;rådens;råd
sover;sover;sover
veckan;veckan;veckan
sekunder;sekunder;sekunder
rummet;rummet;rummet
menade;menade;menade
vinner;vinner;vinner
uppfattat;uppfattat;uppfattat
ofta;ofta;ofta
pojken;pojken;pojken
skada;skada;skada
skadors;skadors;skada
skadornas;skadornas;skada
timme;timme;timme
timmarnas;timmarnas;timme
vakna;vakna;vakna
vaknande;vaknande;vakna
vaknad;vaknad;vakna
nånting;nånting;nånting
vita;vita;vita
ned;ned;ned
människa;människa;människa
vattnet;vattnet;vattnet
passar;passar;passar
öl;öl;öl
öls;öls;öl
ölets;ölets;öl
snacka;snacka;snacka
snackades;snackades;snacka
snackad;snackad;snacka
snygg;snygg;snygg
röra;röra;röra
röror;röror;röra
rörorna;rörorna;röra
rörans;rörans;röra
rörors;rörors;röra
rörornas;rörornas;röra
röres;röres;röra
orolig;orolig;orolig
oroligast;oroligast;orolig
orolige;orolige;orolig
oroligaste;oroligaste;orolig
svart;svart;svart
svartast;svartast;svart
telefon;telefon;telefon
telefons;telefons;telefon
telefoners;telefoners;telefon
telefonernas;telefonernas;telefon
skickade;skickade;skickade
värld;värld;värld
planet;planet;planet
planeternas;planeternas;planet
staden;staden;staden
ställa;ställa;ställa
ställande;ställande;ställa
oj;oj;oj
tjejer;tjejer;tjejer
tjejen;tjejen;tjejen
pojkar;pojkar;pojkar
naturligtvis;naturligtvis;naturligtvis
svar;svar;svar
svarets;svarets;svar
svarens;svarens;svar
träffat;träffat;träffat
stark;stark;stark
nio;nio;nio
vackert;vackert;vackert
stopp;stopp;stopp
stopps;stopps;stopp
stoppets;stoppets;stopp
stoppens;stoppens;stopp
särskilt;särskilt;särskilt
skickar;skickar;skickar
rätta;rätta;rätta
rättades;rättades;rätta
rättats;rättats;rätta
rättande;rättande;rätta
ända;ända;ända
ändorna;ändorna;ända
ändas;ändas;ända
ändans;ändans;ända
ändors;ändors;ända
ändornas;ändornas;ända
ändades;ändades;ända
ändat;ändat;ända
ändats;ändats;ända
ändande;ändande;ända
ändad;ändad;ända
sjukhuset;sjukhuset;sjukhuset
skojar;skojar;skojar
mej;mej;mej
raring;raring;raring
rarings;rarings;raring
raringens;raringens;raring
raringars;raringars;raring
raringarnas;raringarnas;raring
sticka;sticka;sticka
stickans;stickans;sticka
stickors;stickors;sticka
stickornas;stickornas;sticka
stickades;stickades;sticka
stickats;stickats;sticka
stickad;stickad;sticka
stickes;stickes;sticka
tredje;tredje;tredje
olika;olika;olika
skydda;skydda;skydda
skyddats;skyddats;skydda
sälja;sälja;sälja
stolt;stolt;stolt
söt;söt;söt
problemet;problemet;problemet
mord;mord;mord
mords;mords;mord
mordets;mordets;mord
meter;meter;meter
meterna;meterna;meter
meterns;meterns;meter
meternas;meternas;meter
meddelande;meddelande;meddelande
meddelandes;meddelandes;meddelande
meddelandets;meddelandets;meddelande
meddelandens;meddelandens;meddelande
meddelandenas;meddelandenas;meddelande
satte;satte;satte
underbar;underbar;underbar
spel;spel;spel
spels;spels;spel
spelens;spelens;spel
stäng;stäng;stäng
samtal;samtal;samtal
samtalets;samtalets;samtal
samtalens;samtalens;samtal
tacka;tacka;tacka
tackades;tackades;tacka
tackats;tackats;tacka
tackande;tackande;tacka
tackan;tackan;tacka
tackorna;tackorna;tacka
tackans;tackans;tacka
tackors;tackors;tacka
tackornas;tackornas;tacka
riktiga;riktiga;riktiga
speciellt;speciellt;speciellt
äntligen;äntligen;äntligen
nyheter;nyheter;nyheter
räddade;räddade;räddade
slutet;slutet;slutet
ordna;ordna;ordna
ordnande;ordnande;ordna
musik;musik;musik
musiks;musiks;musik
ungefär;ungefär;ungefär
sättet;sättet;sättet
skitsnack;skitsnack;skitsnack
snyggt;snyggt;snyggt
sov;sov;sov
åtminstone;åtminstone;åtminstone
sönder;sönder;sönder
svarta;svarta;svarta
världens;världens;världens
å;å;å
åarna;åarna;å
åns;åns;å
åars;åars;å
åarnas;åarnas;å
trots;trots;trots
trotset;trotset;trots
trotsets;trotsets;trots
träffar;träffar;träffar
omöjligt;omöjligt;omöjligt
stad;stad;stad
någonstans;någonstans;någonstans
tidigt;tidigt;tidigt
ombord;ombord;ombord
plötsligt;plötsligt;plötsligt
släppa;släppa;släppa
släppes;släppes;släppa
släppande;släppande;släppa
skämt;skämt;skämt
skämtets;skämtets;skämt
skämtens;skämtens;skämt
varenda;varenda;varenda
vackra;vackra;vackra
vann;vann;vann
pistol;pistol;pistol
pistolens;pistolens;pistol
pistolers;pistolers;pistol
slags;slags;slags
mördare;mördare;mördare
skönt;skönt;skönt
ändra;ändra;ändra
ändrande;ändrande;ändra
unge;unge;unge
överste;överste;överste
överstars;överstars;överste
stackars;stackars;stackars
utmärkt;utmärkt;utmärkt
pågår;pågår;pågår
tillhör;tillhör;tillhör
minut;minut;minut
minutens;minutens;minut
minuternas;minuternas;minut
unga;unga;unga
svär;svär;svär
upptagen;upptagen;upptagen
upptagnare;upptagnare;upptagen
upptagnast;upptagnast;upptagen
upptagne;upptagne;upptagen
upptagnaste;upptagnaste;upptagen
president;president;president
presidenters;presidenters;president
tusen;tusen;tusen
ställ;ställ;ställ
ställens;ställens;ställ
äkta;äkta;äkta
äktas;äktas;äkta
äktades;äktades;äkta
äktats;äktats;äkta
äktande;äktande;äkta
äktad;äktad;äkta
åk;åk;åk
åken;åken;åk
åkets;åkets;åk
åkens;åkens;åk
skål;skål;skål
skåls;skåls;skål
skålens;skålens;skål
skålars;skålars;skål
skålarnas;skålarnas;skål
uppdrag;uppdrag;uppdrag
uppdragens;uppdragens;uppdrag
personer;personer;personer
året;året;året
text;text;text
texts;texts;text
textens;textens;text
texters;texters;text
texternas;texternas;text
nyss;nyss;nyss
vila;vila;vila
vilor;vilor;vila
vilorna;vilorna;vila
vilas;vilas;vila
vilans;vilans;vila
vilors;vilors;vila
vilornas;vilornas;vila
vilades;vilades;vila
vilats;vilats;vila
vilad;vilad;vila
möte;möte;möte
mötets;mötets;möte
mötens;mötens;möte
mötenas;mötenas;möte
säljer;säljer;säljer
närmare;närmare;närmare
äger;äger;äger
väntat;väntat;väntat
välja;välja;välja
väljes;väljes;välja
väljande;väljande;välja
sådan;sådan;sådan
namnet;namnet;namnet
talat;talat;talat
ställer;ställer;ställer
stilla;stilla;stilla
stillas;stillas;stilla
stillade;stillade;stilla
stillades;stillades;stilla
stillats;stillats;stilla
stillande;stillande;stilla
talas;talas;talas
sängen;sängen;sängen
mål;mål;mål
målens;målens;mål
sade;sade;sade
själ;själ;själ
utom;utom;utom
van;van;van
steg;steg;steg
stegets;stegets;steg
vare;vare;vare
sist;sist;sist
tillbaks;tillbaks;tillbaks
värsta;värsta;värsta
värt;värt;värt
tittade;tittade;tittade
spelade;spelade;spelade
telefonen;telefonen;telefonen
vänd;vänd;vänd
rena;rena;rena
prova;prova;prova
provande;provande;prova
provad;provad;prova
stal;stal;stal
presidenten;presidenten;presidenten
nick;nick;nick
nicken;nicken;nick
nickarna;nickarna;nick
nickens;nickens;nick
nickars;nickars;nick
nickarnas;nickarnas;nick
nicket;nicket;nick
nickets;nickets;nick
morse;morse;morse
månad;månad;månad
översatt;översatt;översatt
pratat;pratat;pratat
området;området;området
tackar;tackar;tackar
passa;passa;passa
passades;passades;passa
passats;passats;passa
passad;passad;passa
visade;visade;visade
pistolen;pistolen;pistolen
väntade;väntade;väntade
sällskap;sällskap;sällskap
ordnar;ordnar;ordnar
räkna;räkna;räkna
massor;massor;massor
säkerhet;säkerhet;säkerhet
säkerheter;säkerheter;säkerhet
säkerheterna;säkerheterna;säkerhet
säkerheters;säkerheters;säkerhet
säkerheternas;säkerheternas;säkerhet
respekt;respekt;respekt
respekts;respekts;respekt
respektens;respektens;respekt
slutade;slutade;slutade
velat;velat;velat
närheten;närheten;närheten
stör;stör;stör
stören;stören;stör
störar;störar;stör
störens;störens;stör
störars;störars;stör
störarnas;störarnas;stör
nervös;nervös;nervös
nervösast;nervösast;nervös
nervöse;nervöse;nervös
nervösaste;nervösaste;nervös
släpper;släpper;släpper
ö;ö;ö
öet;öet;ö
öna;öna;ö
öets;öets;ö
önas;önas;ö
öars;öars;ö
varmt;varmt;varmt
öga;öga;öga
ögonens;ögonens;öga
undertexter;undertexter;undertexter
vanligt;vanligt;vanligt
röst;röst;röst
rösts;rösts;röst
röstens;röstens;röst
rösters;rösters;röst
säng;säng;säng
sängars;sängars;säng
sängarnas;sängarnas;säng
välkomna;välkomna;välkomna
välkomnats;välkomnats;välkomna
vit;vit;vit
vitast;vitast;vit
ära;ära;ära
äror;äror;ära
ärorna;ärorna;ära
ärors;ärors;ära
ärornas;ärornas;ära
ärades;ärades;ära
ärats;ärats;ära
ärande;ärande;ära
ät;ät;ät
partner;partner;partner
partnerns;partnerns;partner
partnernas;partnernas;partner
ryggen;ryggen;ryggen
säkra;säkra;säkra
säkrades;säkrades;säkra
säkrats;säkrats;säkra
säkrande;säkrande;säkra
ren;ren;ren
renens;renens;ren
renars;renars;ren
renarnas;renarnas;ren
renast;renast;ren
skogen;skogen;skogen
öppnar;öppnar;öppnar
sorts;sorts;sorts
skadad;skadad;skadad
maten;maten;maten
meningen;meningen;meningen
planen;planen;planen
överens;överens;överens
stack;stack;stack
stackens;stackens;stack
solen;solen;solen
pojkvän;pojkvän;pojkvän
pojkvännerna;pojkvännerna;pojkvän
pojkvännens;pojkvännens;pojkvän
pojkvännernas;pojkvännernas;pojkvän
talade;talade;talade
vågar;vågar;vågar
ringt;ringt;ringt
ungar;ungar;ungar
värd;värd;värd
värdars;värdars;värd
värdarnas;värdarnas;värd
olycka;olycka;olycka
olyckor;olyckor;olycka
olyckas;olyckas;olycka
olyckors;olyckors;olycka
olyckornas;olyckornas;olycka
starta;starta;starta
tydligen;tydligen;tydligen
sötnos;sötnos;sötnos
sötnosens;sötnosens;sötnos
sötnosars;sötnosars;sötnos
sötnosarnas;sötnosarnas;sötnos
äldre;äldre;äldre
tolv;tolv;tolv
tåget;tåget;tåget
varann;varann;varann
papper;papper;papper
papperets;papperets;papper
papperens;papperens;papper
te;te;te
tjäna;tjäna;tjäna
överraskning;överraskning;överraskning
överraskningens;överraskningens;överraskning
överraskningars;överraskningars;överraskning
överraskningarnas;överraskningarnas;överraskning
varken;varken;varken
tal;tal;tal
talens;talens;tal
minst;minst;minst
skriv;skriv;skriv
morgonen;morgonen;morgonen
sjunga;sjunga;sjunga
sjunges;sjunges;sjunga
sjungits;sjungits;sjunga
röda;röda;röda
ordet;ordet;ordet
nåd;nåd;nåd
nåderna;nåderna;nåd
nåders;nåders;nåd
nådernas;nådernas;nåd
vanliga;vanliga;vanliga
vapnet;vapnet;vapnet
springa;springa;springa
springor;springor;springa
springas;springas;springa
springans;springans;springa
springors;springors;springa
springornas;springornas;springa
springes;springes;springa
sprangs;sprangs;springa
sprungits;sprungits;springa
nyckeln;nyckeln;nyckeln
ordning;ordning;ordning
ordningar;ordningar;ordning
ordningarna;ordningarna;ordning
ordnings;ordnings;ordning
ordningars;ordningars;ordning
ordningarnas;ordningarnas;ordning
tillstånd;tillstånd;tillstånd
